tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
lHand 0.125147 1.56624 -1.10055 0.219044 -0.0550832 -0.607241 0.761737 1.06792
lForeArm 0.0274022 1.57563 -0.735014 0.306664 0.600575 -0.486572 0.555441 1.06792
rHand 0.173288 1.64027 0.746312 -0.527355 -0.785504 0.323851 0.00108498 1.06792
rForeArm 0.0620804 1.59509 0.413352 0.453977 0.57284 -0.375474 0.569894 1.06792
lFoot -0.0713341 0.0691731 -0.386555 0.0774859 0.201779 -0.832925 0.509427 1.06792
rFoot -0.0791365 0.0555173 0.0919702 0.847271 0.483535 0.0441775 0.215346 1.06792
head 0.108161 1.73946 -0.138165 0.0153 -0.698398 0.0083656 0.715497 1.06792
hip -0.000827551 1.14078 0.00817466 0.777098 0.599626 0.0318166 0.18856 1.06792
lHand 0.124715 1.56632 -1.1006 0.218938 -0.0550406 -0.606921 0.762026 1.06792
lForeArm 0.0271776 1.57586 -0.735021 0.305954 0.600975 -0.486512 0.555452 1.06792
rHand 0.173715 1.64015 0.746392 -0.525379 -0.78688 0.323716 0.00213884 1.06792
rForeArm 0.0620391 1.59494 0.413455 0.452314 0.573946 -0.375325 0.570201 1.06792
lFoot -0.0711148 0.0691744 -0.386589 0.077275 0.201723 -0.833023 0.509321 1.06792
rFoot -0.0774392 0.0550241 0.0900455 0.847064 0.484768 0.0428235 0.213655 1.06792
head 0.108092 1.73951 -0.138031 0.0152576 -0.69837 0.00835402 0.715526 1.06792
hip -0.000785112 1.14085 0.00836635 0.777113 0.599702 0.0318865 0.188245 1.06792
lHand 0.12402 1.56638 -1.1008 0.218127 -0.0549884 -0.607785 0.761574 1.06792
lForeArm 0.0270333 1.57601 -0.734898 0.305714 0.601548 -0.486138 0.555292 1.06792
rHand 0.173855 1.64023 0.746564 -0.523683 -0.788405 0.32275 0.00254012 1.06792
rForeArm 0.0620515 1.59475 0.413565 0.451751 0.574998 -0.374556 0.570093 1.06792
lFoot -0.0712359 0.0689784 -0.386668 0.0775207 0.201787 -0.832868 0.509513 1.06792
rFoot -0.0794897 0.0597978 0.0877006 0.84711 0.484453 0.042823 0.214186 1.06792
head 0.108021 1.73951 -0.138275 0.0153838 -0.698409 0.00844229 0.715484 1.06792
hip -0.000529766 1.14086 0.00823379 0.777237 0.599679 0.0317272 0.187833 1.06792
lHand 0.123795 1.5664 -1.10089 0.217416 -0.0548529 -0.608398 0.761297 1.06792
lForeArm 0.0270503 1.57619 -0.73487 0.306041 0.601555 -0.486478 0.554806 1.06792
rHand 0.174085 1.64017 0.746526 -0.5228 -0.789344 0.321882 0.00283666 1.06792
rForeArm 0.0622414 1.59466 0.413594 0.451164 0.5753 -0.374632 0.570204 1.06792
lFoot -0.0711026 0.0689628 -0.386561 0.0774453 0.201836 -0.832914 0.50943 1.06792
rFoot -0.08016 0.0602164 0.088007 0.846952 0.484726 0.04295 0.21417 1.06792
head 0.107976 1.73951 -0.138061 0.0154926 -0.698384 0.00865021 0.715503 1.06792
hip -0.000455618 1.14066 0.0083251 0.777223 0.599711 0.0314665 0.187831 1.06792
lHand 0.123276 1.56631 -1.101 0.216041 -0.0545186 -0.610875 0.759727 1.06792
lForeArm 0.0270762 1.57653 -0.734745 0.307733 0.600872 -0.487906 0.553355 1.06792
rHand 0.173961 1.64029 0.746996 -0.521544 -0.790786 0.320383 0.00176897 1.06792
rForeArm 0.0624247 1.59448 0.413805 0.450235 0.575436 -0.375107 0.570488 1.06792
lFoot -0.0710245 0.0690697 -0.38658 0.0771428 0.201749 -0.832889 0.509551 1.06792
rFoot -0.076171 0.0542657 0.0925632 0.847948 0.483315 0.0437274 0.213257 1.06792
head 0.107912 1.73955 -0.137932 0.015599 -0.698456 0.00875211 0.715429 1.06792
hip -0.000337958 1.14079 0.00852609 0.7772 0.599758 0.0312388 0.187815 1.06792
lHand 0.122697 1.56658 -1.10096 0.215235 -0.0541084 -0.612578 0.758614 1.06792
lForeArm 0.0269873 1.57677 -0.734565 0.308337 0.600895 -0.488403 0.552554 1.06792
rHand 0.173698 1.64074 0.747184 -0.519012 -0.792661 0.319866 0.000722178 1.06792
rForeArm 0.0626649 1.59456 0.413954 0.45058 0.575581 -0.374873 0.570223 1.06792
lFoot -0.0710553 0.0689769 -0.386575 0.0774546 0.201948 -0.832789 0.509589 1.06792
rFoot -0.0761212 0.054226 0.0927727 0.847952 0.483368 0.0438003 0.213107 1.06792
head 0.107695 1.73954 -0.138133 0.0157274 -0.698524 0.00895242 0.715358 1.06792
hip -0.000422835 1.14081 0.00849819 0.777195 0.5997 0.0309414 0.188072 1.06792
lHand 0.122336 1.56717 -1.10099 0.215376 -0.0542207 -0.612427 0.758688 1.06792
lForeArm 0.0267041 1.57723 -0.734486 0.309766 0.600967 -0.489057 0.551097 1.06792
rHand 0.172635 1.64209 0.747709 0.513726 0.796297 -0.31936 0.00250765 1.06792
rForeArm 0.0627277 1.59445 0.414092 0.450056 0.575984 -0.374336 0.570583 1.06792
lFoot -0.0710173 0.0689622 -0.386388 0.0773824 0.20184 -0.832784 0.50965 1.06792
rFoot -0.0760865 0.0541736 0.0930583 0.847862 0.483494 0.0438639 0.213165 1.06792
head 0.10766 1.7395 -0.137886 0.01586 -0.698548 0.00897985 0.715331 1.06792
hip -0.000443816 1.14071 0.00858974 0.777187 0.599668 0.0307804 0.188229 1.06792
lHand 0.122138 1.56791 -1.10085 0.216326 -0.0542418 -0.610784 0.759739 1.06792
lForeArm 0.0265627 1.57743 -0.734382 0.309881 0.601107 -0.48916 0.550787 1.06792
rHand 0.172045 1.64293 0.748142 0.509618 0.799214 -0.318629 0.00471988 1.06792
rForeArm 0.0627675 1.59435 0.414285 0.448868 0.576266 -0.374128 0.571369 1.06792
lFoot -0.0710014 0.0691124 -0.386333 0.0773473 0.201891 -0.832858 0.509514 1.06792
rFoot -0.0760268 0.0541078 0.0932703 0.847841 0.48354 0.0438306 0.213152 1.06792
head 0.107576 1.7395 -0.137695 0.0161001 -0.698567 0.00905421 0.715306 1.06792
hip -0.000457883 1.1407 0.00866652 0.77721 0.599581 0.030704 0.188425 1.06792
lHand 0.121726 1.56889 -1.1007 0.217326 -0.0533391 -0.609057 0.760903 1.06792
lForeArm 0.0263047 1.57774 -0.734143 0.309306 0.601768 -0.488466 0.551005 1.06792
rHand 0.170796 1.64413 0.748523 0.503733 0.803526 -0.317067 0.00825488 1.06792
rForeArm 0.0626107 1.59437 0.414306 0.448197 0.577389 -0.372653 0.571727 1.06792
lFoot -0.0711811 0.0688314 -0.386479 0.0775416 0.201889 -0.832707 0.509732 1.06792
rFoot -0.0759659 0.054047 0.093514 0.847842 0.483581 0.043793 0.213062 1.06792
head 0.107368 1.73947 -0.137812 0.0162755 -0.69869 0.00913368 0.715181 1.06792
hip -0.000536442 1.14066 0.00861621 0.777229 0.599552 0.0306501 0.188451 1.06792
lHand 0.121217 1.56996 -1.10071 0.217693 -0.0516763 -0.60818 0.761614 1.06792
lForeArm 0.0258104 1.57803 -0.734088 0.308194 0.602476 -0.487283 0.551901 1.06792
rHand 0.169028 1.64556 0.748775 0.497633 0.807972 -0.315236 0.0130026 1.06792
rForeArm 0.062587 1.59448 0.414535 0.446205 0.579231 -0.370059 0.573105 1.06792
lFoot -0.0712311 0.068993 -0.386443 0.0775394 0.201915 -0.832732 0.509681 1.06792
rFoot -0.0759189 0.0540228 0.0937927 0.847806 0.483601 0.0437908 0.213161 1.06792
head 0.107242 1.73946 -0.137669 0.0163184 -0.698689 0.00912797 0.715181 1.06792
hip -0.000577331 1.14061 0.00856566 0.777325 0.599431 0.0306783 0.188434 1.06792
lHand 0.120875 1.57071 -1.10065 0.217745 -0.0508011 -0.607574 0.762142 1.06792
lForeArm 0.0254676 1.57833 -0.734044 0.307417 0.603122 -0.486108 0.552664 1.06792
rHand 0.167936 1.64654 0.748881 0.493653 0.811029 -0.313498 0.0160651 1.06792
rForeArm 0.0625601 1.59464 0.414528 0.444078 0.58031 -0.369181 0.57423 1.06792
lFoot -0.0710754 0.0689881 -0.386404 0.0773308 0.201822 -0.832752 0.509718 1.06792
rFoot -0.0758622 0.053975 0.0940111 0.847799 0.483614 0.0437891 0.213161 1.06792
head 0.107142 1.7395 -0.137499 0.0163556 -0.698759 0.00918452 0.715111 1.06792
hip -0.000505567 1.14069 0.00874686 0.777292 0.599471 0.0307162 0.188435 1.06792
lHand 0.12058 1.57183 -1.10038 0.217928 -0.0501529 -0.606827 0.762727 1.06792
lForeArm 0.0252501 1.57891 -0.733791 0.307286 0.603797 -0.485219 0.552781 1.06792
rHand 0.166951 1.64752 0.749245 0.489492 0.814094 -0.311937 0.0185627 1.06792
rForeArm 0.0623354 1.59498 0.414641 0.441923 0.58192 -0.367947 0.575055 1.06792
lFoot -0.071146 0.0688052 -0.386435 0.0775385 0.201948 -0.83266 0.509786 1.06792
rFoot -0.0757949 0.0539399 0.0942497 0.847818 0.483604 0.0439541 0.213072 1.06792
head 0.106898 1.73948 -0.137666 0.0164935 -0.698797 0.00930461 0.71507 1.06792
hip -0.000455737 1.14069 0.00864506 0.77723 0.59948 0.0307484 0.188656 1.06792
lHand 0.120107 1.57277 -1.10033 0.218177 -0.0498244 -0.606104 0.763252 1.06792
lForeArm 0.0248778 1.57933 -0.7337 0.307323 0.604375 -0.484544 0.552721 1.06792
rHand 0.16579 1.64841 0.749617 0.48509 0.817237 -0.310492 0.0201786 1.06792
rForeArm 0.0620757 1.5954 0.41472 0.439454 0.583837 -0.365386 0.576635 1.06792
lFoot -0.0711089 0.0688021 -0.386299 0.0776066 0.20191 -0.832661 0.50979 1.06792
rFoot -0.0757351 0.0538932 0.0944765 0.847815 0.483614 0.0439799 0.213058 1.06792
head 0.106792 1.7395 -0.137501 0.0166013 -0.698741 0.00950621 0.715119 1.06792
hip -0.000563264 1.14077 0.00853086 0.777244 0.599398 0.0306975 0.188868 1.06792
lHand 0.119852 1.57378 -1.10017 0.218922 -0.0499752 -0.605135 0.763798 1.06792
lForeArm 0.0246818 1.57985 -0.733526 0.307487 0.604841 -0.484611 0.552061 1.06792
rHand 0.165115 1.64907 0.74987 0.480573 0.820493 -0.30893 0.0200656 1.06792
rForeArm 0.0618834 1.59573 0.414822 0.436607 0.585924 -0.362898 0.578249 1.06792
lFoot -0.0711017 0.0690999 -0.386456 0.0772492 0.201772 -0.832776 0.509711 1.06792
rFoot -0.0763586 0.0552254 0.0934496 0.847747 0.483651 0.0438409 0.213272 1.06792
head 0.106708 1.73955 -0.137326 0.0168191 -0.698712 0.00956598 0.715141 1.06792
hip -0.000568748 1.1408 0.00853872 0.777348 0.599231 0.0307452 0.188961 1.06792
lHand 0.119474 1.57486 -1.09992 0.219741 -0.0502389 -0.604003 0.764441 1.06792
lForeArm 0.0244855 1.58043 -0.733425 0.30762 0.605374 -0.484536 0.551469 1.06792
rHand 0.164634 1.64959 0.75023 0.477023 0.823388 -0.306789 0.0189979 1.06792
rForeArm 0.0614655 1.59623 0.415072 0.434878 0.588337 -0.359207 0.579406 1.06792
lFoot -0.0711728 0.0689496 -0.386519 0.0775472 0.20176 -0.832627 0.509913 1.06792
rFoot -0.0764015 0.0553926 0.0938175 0.847729 0.483652 0.0438193 0.213343 1.06792
head 0.106499 1.73957 -0.13749 0.01695 -0.698709 0.00960136 0.715141 1.06792
hip -0.000482321 1.14076 0.00846434 0.777494 0.599042 0.0306644 0.188977 1.06792
lHand 0.119085 1.57591 -1.09986 0.220295 -0.0498288 -0.604145 0.764196 1.06792
lForeArm 0.0242639 1.58095 -0.733352 0.307937 0.605786 -0.484417 0.550943 1.06792
rHand 0.164219 1.65019 0.750406 0.475034 0.824966 -0.305691 0.0180994 1.06792
rForeArm 0.0612864 1.59665 0.415189 0.432928 0.590322 -0.356366 0.580601 1.06792
lFoot -0.0710645 0.0689379 -0.38641 0.0775941 0.201703 -0.832629 0.509926 1.06792
rFoot -0.080107 0.0539223 0.0889935 0.847231 0.483975 0.044222 0.214502 1.06792
head 0.106376 1.73965 -0.137318 0.0170874 -0.698697 0.00971322 0.715148 1.06792
hip -0.000489116 1.14073 0.00839376 0.777597 0.598935 0.0305786 0.188906 1.06792
lHand 0.11852 1.57689 -1.09981 0.220499 -0.0485766 -0.605786 0.762918 1.06792
lForeArm 0.0241406 1.58155 -0.733265 0.308755 0.605567 -0.485205 0.550032 1.06792
rHand 0.163984 1.65072 0.750701 0.47353 0.826073 -0.30504 0.0179775 1.06792
rForeArm 0.060998 1.59692 0.415298 0.43029 0.591791 -0.354213 0.58238 1.06792
lFoot -0.0710568 0.0691108 -0.386418 0.0776159 0.201745 -0.832665 0.509847 1.06792
rFoot -0.0786233 0.0561252 0.0914958 0.847094 0.48406 0.0448636 0.214723 1.06792
head 0.106295 1.73971 -0.137146 0.0174518 -0.698758 0.00975265 0.715079 1.06792
hip -0.000442743 1.14075 0.00847316 0.777692 0.598868 0.0307222 0.188701 1.06792
lHand 0.117861 1.57809 -1.09986 0.220746 -0.046998 -0.60701 0.761972 1.06792
lForeArm 0.024045 1.58203 -0.733136 0.309561 0.60586 -0.48529 0.54918 1.06792
rHand 0.163796 1.65155 0.75088 0.473386 0.826291 -0.304685 0.0177842 1.06792
rForeArm 0.0609496 1.59721 0.415411 0.428356 0.592714 -0.353667 0.5832 1.06792
lFoot -0.0710868 0.0689489 -0.386493 0.0775099 0.20174 -0.832655 0.509881 1.06792
rFoot -0.078909 0.0562648 0.092103 0.847046 0.484403 0.0450271 0.214101 1.06792
head 0.106142 1.73975 -0.137372 0.0176865 -0.698847 0.00962538 0.714987 1.06792
hip -0.000299692 1.1407 0.00831389 0.77781 0.59875 0.0309149 0.18856 1.06792
lHand 0.117305 1.57933 -1.09989 0.220776 -0.0455494 -0.607285 0.761832 1.06792
lForeArm 0.0237591 1.58239 -0.733043 0.311221 0.606166 -0.484997 0.548162 1.06792
rHand 0.163671 1.65263 0.750634 0.470143 0.828325 -0.304136 0.0185924 1.06792
rForeArm 0.0608538 1.59746 0.415565 0.426418 0.593799 -0.353133 0.583839 1.06792
lFoot -0.0709999 0.0689428 -0.386416 0.0775205 0.201696 -0.832654 0.509898 1.06792
rFoot -0.0790601 0.0561981 0.0923355 0.847056 0.48444 0.0449756 0.213988 1.06792
head 0.106036 1.73982 -0.137221 0.0179943 -0.698876 0.00954532 0.714953 1.06792
hip -0.000307798 1.14069 0.0081563 0.777876 0.598686 0.0308179 0.188504 1.06792
lHand 0.116743 1.58083 -1.09991 0.220681 -0.0431751 -0.605182 0.763669 1.06792
lForeArm 0.023403 1.58292 -0.733027 0.311897 0.606401 -0.484774 0.547716 1.06792
rHand 0.163339 1.6537 0.750342 0.465745 0.830759 -0.304116 0.0208501 1.06792
rForeArm 0.0606387 1.59774 0.415542 0.424541 0.595095 -0.351938 0.584608 1.06792
lFoot -0.070915 0.0691676 -0.386578 0.0772257 0.201584 -0.832767 0.509803 1.06792
rFoot -0.0791068 0.0562823 0.0925663 0.847089 0.484399 0.0448575 0.213976 1.06792
head 0.105956 1.73983 -0.13705 0.0182688 -0.699002 0.00950621 0.714823 1.06792
hip -0.000309944 1.14068 0.00809598 0.777852 0.598692 0.0308121 0.188586 1.06792
lHand 0.11604 1.58251 -1.09982 0.221036 -0.0415534 -0.599329 0.768258 1.06792
lForeArm 0.0229936 1.58318 -0.732761 0.310803 0.607428 -0.483209 0.548581 1.06792
rHand 0.162775 1.65484 0.750265 0.462897 0.83236 -0.303924 0.0230871 1.06792
rForeArm 0.0605178 1.59794 0.415665 0.423477 0.59599 -0.351932 0.584472 1.06792
lFoot -0.0710702 0.0689147 -0.38675 0.0773488 0.2016 -0.832679 0.509922 1.06792
rFoot -0.0787454 0.0562453 0.091949 0.847122 0.483909 0.0450027 0.21492 1.06792
head 0.105807 1.7398 -0.137189 0.018397 -0.699021 0.00948621 0.714801 1.06792
hip -0.000205517 1.14065 0.00796103 0.777851 0.598684 0.0309216 0.188599 1.06792
lHand 0.115444 1.58422 -1.09976 0.221385 -0.0401793 -0.593071 0.773072 1.06792
lForeArm 0.0226333 1.58345 -0.732647 0.310011 0.608549 -0.481386 0.549389 1.06792
rHand 0.162678 1.65614 0.749857 0.461643 0.832725 -0.304636 0.0255209 1.06792
rForeArm 0.0605128 1.59807 0.415724 0.422017 0.596301 -0.352785 0.584697 1.06792
lFoot -0.0710226 0.0688903 -0.386655 0.0773889 0.201468 -0.83266 0.509999 1.06792
rFoot -0.0783905 0.0561645 0.0914109 0.847069 0.483808 0.044768 0.215405 1.06792
head 0.105775 1.73977 -0.136829 0.0183666 -0.699322 0.00941605 0.714509 1.06792
hip -0.000192761 1.14049 0.00795722 0.777781 0.598703 0.0312545 0.188772 1.06792
lHand 0.114926 1.58562 -1.09974 0.2218 -0.0380397 -0.588718 0.776382 1.06792
lForeArm 0.0223482 1.58349 -0.732566 0.307869 0.610206 -0.478843 0.550976 1.06792
rHand 0.162698 1.65726 0.749692 0.460237 0.833181 -0.305478 0.0259732 1.06792
rForeArm 0.0603824 1.59815 0.415691 0.420219 0.596559 -0.353382 0.585367 1.06792
lFoot -0.0709779 0.0690366 -0.386638 0.0774436 0.201522 -0.832718 0.509875 1.06792
rFoot -0.0788515 0.0558348 0.0910542 0.846935 0.483914 0.0448176 0.215684 1.06792
head 0.10566 1.73976 -0.136629 0.0183703 -0.699467 0.00932381 0.714368 1.06792
hip -0.000227451 1.14042 0.00797844 0.777782 0.598712 0.031407 0.188714 1.06792
lHand 0.114269 1.58688 -1.09956 0.221761 -0.0347798 -0.585884 0.778686 1.06792
lForeArm 0.0221269 1.58377 -0.732335 0.306745 0.611139 -0.477264 0.551939 1.06792
rHand 0.162958 1.65836 0.749298 0.459205 0.83307 -0.307321 0.0260436 1.06792
rForeArm 0.0604275 1.59822 0.415849 0.419455 0.596617 -0.35439 0.585246 1.06792
lFoot -0.0710998 0.0688367 -0.38673 0.0775015 0.201482 -0.832687 0.509932 1.06792
rFoot -0.0788121 0.0563134 0.0902302 0.84694 0.483835 0.0444457 0.21592 1.06792
head 0.105434 1.73971 -0.13681 0.0184063 -0.699672 0.00920154 0.714168 1.06792
hip -0.000157475 1.14032 0.00786948 0.777671 0.598902 0.0318018 0.188501 1.06792
lHand 0.113686 1.58802 -1.09954 0.221702 -0.0323198 -0.583399 0.780672 1.06792
lForeArm 0.0220408 1.58402 -0.732256 0.30562 0.611273 -0.476196 0.553334 1.06792
rHand 0.163273 1.65945 0.74872 0.4595 0.831759 -0.310346 0.0268674 1.06792
rForeArm 0.0604721 1.59831 0.415952 0.4186 0.596643 -0.354384 0.585836 1.06792
lFoot -0.071033 0.0687989 -0.386615 0.0774006 0.201537 -0.832688 0.509924 1.06792
rFoot -0.0787576 0.0563171 0.0905313 0.846995 0.483782 0.0444232 0.215828 1.06792
head 0.105336 1.73968 -0.13657 0.0183733 -0.699797 0.00934257 0.714045 1.06792
hip -0.000228763 1.14031 0.00778747 0.777551 0.599023 0.0321302 0.188554 1.06792
lHand 0.113165 1.58903 -1.09957 0.221703 -0.0311313 -0.581811 0.781905 1.06792
lForeArm 0.0219491 1.58433 -0.732224 0.304803 0.611748 -0.475351 0.553987 1.06792
rHand 0.163575 1.6606 0.748145 0.46018 0.830338 -0.31299 0.0284563 1.06792
rForeArm 0.0603442 1.59859 0.415843 0.417453 0.597315 -0.354526 0.585884 1.06792
lFoot -0.0710598 0.0690309 -0.386707 0.0772466 0.201528 -0.832726 0.509889 1.06792
rFoot -0.0777602 0.0559187 0.0899379 0.847041 0.483393 0.0448845 0.21642 1.06792
head 0.105215 1.73967 -0.136386 0.0184201 -0.699794 0.00936049 0.714046 1.06792
hip -0.000116825 1.14041 0.00793719 0.777448 0.599107 0.0322016 0.188701 1.06792
lHand 0.113079 1.58959 -1.09928 0.222261 -0.031696 -0.582212 0.781425 1.06792
lForeArm 0.0218713 1.5846 -0.731974 0.304677 0.612361 -0.474741 0.553901 1.06792
rHand 0.1638 1.66149 0.74782 0.460631 0.829475 -0.314492 0.0297636 1.06792
rForeArm 0.0605345 1.59868 0.416103 0.417477 0.597533 -0.355315 0.585166 1.06792
lFoot -0.0711033 0.0688964 -0.386716 0.0774155 0.201535 -0.832645 0.509994 1.06792
rFoot -0.0780194 0.05567 0.0906663 0.847246 0.483276 0.0448148 0.215894 1.06792
head 0.104982 1.73968 -0.136445 0.0181651 -0.699823 0.00958232 0.714021 1.06792
hip -6.77109e-05 1.14041 0.00784826 0.777421 0.599099 0.0321235 0.188851 1.06792
lHand 0.112964 1.59007 -1.09921 0.222679 -0.0321506 -0.582723 0.780906 1.06792
lForeArm 0.0218663 1.58493 -0.731852 0.305734 0.612592 -0.474893 0.552932 1.06792
rHand 0.16412 1.66208 0.747575 0.461077 0.828887 -0.315327 0.0303869 1.06792
rForeArm 0.0606189 1.59867 0.416194 0.41687 0.597552 -0.356283 0.584991 1.06792
lFoot -0.0710514 0.0688829 -0.386605 0.0773971 0.201548 -0.832604 0.510057 1.06792
rFoot -0.0775445 0.0556751 0.0904193 0.847268 0.483428 0.0444135 0.215551 1.06792
head 0.104958 1.73966 -0.136051 0.0181466 -0.699912 0.00978468 0.713932 1.06792
hip 5.01871e-05 1.14026 0.00791645 0.777445 0.599021 0.0319104 0.189038 1.06792
lHand 0.113112 1.5902 -1.09931 0.223157 -0.0323583 -0.584554 0.779391 1.06792
lForeArm 0.0220008 1.58503 -0.731778 0.306463 0.612567 -0.475291 0.552215 1.06792
