tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
hip -0.0510058 1.1003 0.0668135 0.74273 0.64765 0.0677403 0.155924 1.06792
lHand -0.0319023 1.58039 -1.02567 0.231934 -0.0528586 -0.634665 0.735264 1.06792
lForeArm -0.08645 1.59159 -0.67647 0.268032 0.644516 -0.496098 0.516377 1.06792
rHand 0.0811749 1.494 0.810607 -0.586879 -0.769938 0.197382 0.154299 1.06792
rForeArm -0.0195018 1.53819 0.44144 0.577804 0.487975 -0.393748 0.522481 1.06792
lFoot -0.0839517 0.0705215 -0.244035 0.111696 0.134897 -0.841219 0.511545 1.06792
rFoot -0.0869491 0.0445125 0.0158601 0.841011 0.529572 -0.00164682 0.110689 1.06792
head 0.0824587 1.7443 -0.0929124 0.0296156 -0.676643 0.0213578 0.735405 1.06792
hip -0.0509778 1.10034 0.0668023 0.742834 0.647505 0.067533 0.156122 1.06792
lHand -0.0319586 1.58039 -1.02555 0.232369 -0.0525707 -0.634212 0.735538 1.06792
lForeArm -0.0869181 1.59124 -0.67658 0.269133 0.643821 -0.497361 0.515454 1.06792
rHand 0.0803928 1.49299 0.811283 -0.587968 -0.770605 0.19258 0.152887 1.06792
rForeArm -0.0195251 1.53786 0.441294 0.578164 0.487891 -0.3939 0.522047 1.06792
lFoot -0.0841677 0.0700711 -0.244266 0.112241 0.135281 -0.841068 0.511571 1.06792
rFoot -0.0869734 0.0444709 0.0158665 0.840993 0.529588 -0.0015537 0.110745 1.06792
head 0.0826528 1.74427 -0.0927646 0.0296181 -0.676857 0.0210521 0.735217 1.06792
hip -0.0509374 1.10034 0.0667844 0.742891 0.647433 0.0674175 0.156199 1.06792
lHand -0.0322301 1.58038 -1.02564 0.232434 -0.0519503 -0.633592 0.736095 1.06792
lForeArm -0.087106 1.5911 -0.676728 0.268743 0.643759 -0.49743 0.515669 1.06792
rHand 0.0805366 1.49254 0.811137 -0.587824 -0.770717 0.192448 0.153043 1.06792
rForeArm -0.0178046 1.53825 0.443823 0.578342 0.487949 -0.393957 0.521751 1.06792
lFoot -0.0842714 0.0705518 -0.244353 0.112183 0.135239 -0.841137 0.511482 1.06792
rFoot -0.0870386 0.0445393 0.0157404 0.840981 0.529609 -0.00151976 0.11074 1.06792
head 0.0826678 1.7442 -0.0927997 0.0295312 -0.67688 0.0209143 0.735203 1.06792
hip -0.0509496 1.10037 0.0667739 0.742884 0.64734 0.0676884 0.1565 1.06792
lHand -0.0325508 1.5803 -1.02564 0.232411 -0.0513561 -0.633278 0.736415 1.06792
lForeArm -0.0868882 1.59102 -0.676663 0.268708 0.643933 -0.496904 0.515977 1.06792
rHand 0.0807962 1.49208 0.811345 -0.587946 -0.770535 0.192765 0.15309 1.06792
rForeArm -0.0190759 1.53742 0.441698 0.578241 0.488124 -0.394291 0.521447 1.06792
lFoot -0.0840764 0.0705439 -0.24414 0.11201 0.135348 -0.841115 0.511527 1.06792
rFoot -0.0870121 0.0444928 0.0157075 0.840945 0.529646 -0.00152466 0.110836 1.06792
head 0.0827515 1.74414 -0.0927436 0.029496 -0.677043 0.0206892 0.735061 1.06792
hip -0.0509311 1.10044 0.0668213 0.742941 0.647237 0.0677796 0.156616 1.06792
lHand -0.032701 1.5803 -1.02555 0.232311 -0.050919 -0.633437 0.73634 1.06792
lForeArm -0.0873586 1.591 -0.676771 0.267643 0.644463 -0.496281 0.516468 1.06792
rHand 0.0810125 1.4918 0.811457 -0.587516 -0.771029 0.192763 0.152253 1.06792
rForeArm -0.01914 1.53697 0.441454 0.577699 0.488243 -0.394972 0.521421 1.06792
lFoot -0.0841155 0.0702132 -0.24444 0.111183 0.136423 -0.840863 0.511836 1.06792
rFoot -0.0869796 0.0445465 0.0157688 0.840992 0.52959 -0.00141307 0.11075 1.06792
head 0.0827892 1.74411 -0.0927618 0.0293786 -0.67718 0.0201922 0.734953 1.06792
hip -0.0508865 1.10046 0.0668108 0.742887 0.647253 0.0678186 0.156791 1.06792
lHand -0.0330379 1.58016 -1.02562 0.232187 -0.0506411 -0.633502 0.736342 1.06792
lForeArm -0.0874944 1.59077 -0.676748 0.267385 0.644678 -0.496095 0.516513 1.06792
rHand 0.0814364 1.49183 0.811721 -0.585328 -0.772892 0.192857 0.151114 1.06792
rForeArm -0.017786 1.537 0.443775 0.576517 0.489301 -0.394866 0.521818 1.06792
lFoot -0.0843465 0.0706551 -0.244645 0.109426 0.136997 -0.840462 0.512719 1.06792
rFoot -0.0869399 0.0445446 0.0157416 0.84099 0.529597 -0.00141307 0.110728 1.06792
head 0.0829227 1.74412 -0.0925307 0.0291873 -0.677242 0.0199808 0.73491 1.06792
hip -0.0509751 1.10054 0.0669284 0.742904 0.647223 0.0678091 0.156837 1.06792
lHand -0.033263 1.5799 -1.02554 0.232016 -0.0501394 -0.633772 0.736198 1.06792
lForeArm -0.0876138 1.59053 -0.676726 0.267516 0.64443 -0.496355 0.516505 1.06792
rHand 0.0818245 1.49218 0.812074 -0.581627 -0.775848 0.193347 0.149623 1.06792
rForeArm -0.0194695 1.53616 0.44155 0.575363 0.490719 -0.39436 0.522142 1.06792
lFoot -0.0840282 0.070659 -0.244674 0.106873 0.137396 -0.840281 0.513447 1.06792
rFoot -0.0871124 0.0447276 0.0156381 0.840943 0.529652 -0.00125679 0.110825 1.06792
head 0.0829934 1.7441 -0.0925019 0.0290181 -0.677386 0.0196832 0.734791 1.06792
hip -0.0508995 1.10075 0.0671821 0.74297 0.647115 0.06763 0.157047 1.06792
lHand -0.0333365 1.57977 -1.02543 0.232235 -0.0499508 -0.63327 0.736573 1.06792
lForeArm -0.087773 1.59036 -0.676696 0.268158 0.644135 -0.496903 0.516013 1.06792
rHand 0.0823433 1.49267 0.812432 -0.577241 -0.779287 0.194278 0.147514 1.06792
rForeArm -0.0197655 1.53553 0.441461 0.573399 0.493123 -0.393621 0.522596 1.06792
lFoot -0.0836551 0.0703391 -0.244916 0.106717 0.13692 -0.840309 0.513562 1.06792
rFoot -0.0870028 0.0450071 0.0158861 0.840913 0.529826 -0.00092966 0.110222 1.06792
head 0.0830081 1.74408 -0.0925541 0.0288457 -0.677418 0.0194768 0.734774 1.06792
hip -0.0509768 1.10072 0.0674784 0.743002 0.647147 0.06738 0.156872 1.06792
lHand -0.0336068 1.57955 -1.02541 0.232618 -0.0500514 -0.631966 0.737565 1.06792
lForeArm -0.0879005 1.59015 -0.67666 0.268146 0.643798 -0.497527 0.515838 1.06792
rHand 0.083387 1.49357 0.812703 -0.57407 -0.781707 0.195626 0.145285 1.06792
rForeArm -0.0181549 1.53568 0.444126 0.571367 0.495087 -0.392888 0.523515 1.06792
lFoot -0.0833714 0.0703425 -0.24486 0.107918 0.135448 -0.840593 0.513235 1.06792
rFoot -0.0870608 0.0450665 0.0158489 0.841023 0.5297 -0.0010358 0.109986 1.06792
head 0.0830507 1.74406 -0.0926702 0.0287103 -0.677481 0.0192761 0.734727 1.06792
hip -0.0509844 1.10074 0.0676031 0.743035 0.647172 0.0672932 0.156649 1.06792
lHand -0.033762 1.57918 -1.02549 0.232366 -0.0505243 -0.631122 0.738335 1.06792
lForeArm -0.0880404 1.59002 -0.676861 0.268013 0.643761 -0.498132 0.515369 1.06792
rHand 0.0843606 1.49428 0.812901 -0.57055 -0.784178 0.197365 0.143475 1.06792
rForeArm -0.0192426 1.53471 0.442146 0.569632 0.497222 -0.391843 0.524164 1.06792
lFoot -0.0832655 0.0707681 -0.245301 0.107981 0.134283 -0.84071 0.513337 1.06792
rFoot -0.0869284 0.0451232 0.0157821 0.841563 0.528863 -0.00197965 0.109873 1.06792
head 0.0831373 1.74406 -0.0926573 0.028423 -0.677504 0.0190707 0.734722 1.06792
hip -0.0510802 1.10074 0.067807 0.743129 0.647339 0.0670451 0.155617 1.06792
lHand -0.0339892 1.57863 -1.02545 0.232047 -0.0507923 -0.630952 0.738562 1.06792
lForeArm -0.088239 1.58973 -0.676798 0.268226 0.643655 -0.498616 0.514922 1.06792
rHand 0.0853491 1.49493 0.812746 -0.567719 -0.786101 0.198904 0.142047 1.06792
rForeArm -0.0189271 1.5342 0.442032 0.56826 0.498067 -0.392181 0.524599 1.06792
lFoot -0.0834813 0.070412 -0.245573 0.107773 0.134073 -0.840919 0.513093 1.06792
rFoot -0.0868995 0.0451902 0.015748 0.842017 0.52806 -0.00246268 0.110247 1.06792
head 0.0832429 1.74394 -0.0926239 0.0279625 -0.677541 0.0189899 0.734708 1.06792
hip -0.0511179 1.10077 0.0680344 0.742963 0.64786 0.0664872 0.154475 1.06792
lHand -0.0341804 1.5779 -1.02538 0.231141 -0.051176 -0.631915 0.737996 1.06792
lForeArm -0.0879731 1.58918 -0.676286 0.268195 0.643292 -0.499218 0.514809 1.06792
rHand 0.0867804 1.49526 0.812537 -0.567467 -0.785828 0.200751 0.141969 1.06792
rForeArm -0.0171148 1.53438 0.444119 0.568027 0.497771 -0.393525 0.524126 1.06792
lFoot -0.0832417 0.070313 -0.2455 0.107556 0.133885 -0.84096 0.513121 1.06792
rFoot -0.0867317 0.0452087 0.0156071 0.842505 0.527286 -0.00303953 0.11021 1.06792
head 0.0833569 1.74393 -0.0926297 0.0275915 -0.677465 0.0190275 0.734791 1.06792
hip -0.0510409 1.10047 0.0686264 0.742743 0.648283 0.0657916 0.154056 1.06792
lHand -0.0343487 1.57691 -1.02524 0.230087 -0.0515982 -0.633908 0.736586 1.06792
lForeArm -0.0879968 1.58886 -0.676274 0.268377 0.642995 -0.4998 0.51452 1.06792
rHand 0.0879203 1.4953 0.812458 -0.567246 -0.785789 0.201378 0.142176 1.06792
rForeArm -0.0180597 1.53336 0.44216 0.567867 0.497549 -0.395204 0.523245 1.06792
lFoot -0.082809 0.0705389 -0.245367 0.107931 0.133275 -0.841818 0.511791 1.06792
rFoot -0.086614 0.0449551 0.0157285 0.843289 0.525979 -0.00442326 0.110406 1.06792
head 0.083481 1.74392 -0.0926406 0.0270619 -0.677467 0.0191394 0.734806 1.06792
hip -0.0512769 1.1003 0.0687344 0.74173 0.649381 0.0646439 0.154798 1.06792
lHand -0.0346134 1.57573 -1.02524 0.2292 -0.0520405 -0.635688 0.735296 1.06792
lForeArm -0.088148 1.58834 -0.676173 0.269187 0.64248 -0.500647 0.513916 1.06792
rHand 0.0887579 1.49487 0.81262 -0.568377 -0.78483 0.201467 0.14283 1.06792
rForeArm -0.0159155 1.53366 0.444584 0.568384 0.496299 -0.397879 0.521842 1.06792
lFoot -0.0832052 0.0697066 -0.245901 0.108944 0.13302 -0.841583 0.51203 1.06792
rFoot -0.0864587 0.0447676 0.0156105 0.844573 0.52412 -0.00643045 0.109337 1.06792
