tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0442886 1.73998 0.0636082 0.00836249 -0.695616 -0.0014495 0.718364 1.06792
hip -0.0548553 1.11488 0.214994 0.769232 0.629639 -0.0356211 0.102798 1.06792
lHand -0.0268329 1.54443 -0.895007 0.200667 -0.0345623 -0.507774 0.837081 1.06792
lForeArm -0.0938587 1.56004 -0.53078 0.307286 0.607679 -0.51297 0.52265 1.06792
rHand 0.0531415 1.53092 0.970679 -0.38663 -0.905165 0.176265 0.0111459 1.06792
rForeArm -0.0281514 1.53577 0.618765 0.476452 0.599255 -0.2889 0.574825 1.06792
lFoot -0.139097 0.0704159 -0.145282 0.0368244 0.197446 -0.840937 0.502478 1.06792
rFoot -0.0814478 0.0467829 0.215945 0.837936 0.52879 0.0179614 0.133877 1.06792
head 0.044131 1.73999 0.0635438 0.00853358 -0.695742 -0.00131474 0.718239 1.06792
hip -0.0546125 1.11504 0.215383 0.769351 0.629488 -0.0354738 0.102883 1.06792
lHand -0.0269444 1.54463 -0.895094 0.200105 -0.0346155 -0.504943 0.838923 1.06792
lForeArm -0.0938587 1.56004 -0.53078 0.307286 0.607679 -0.51297 0.52265 1.06792
rHand 0.0532994 1.53132 0.970446 -0.383637 -0.906389 0.176473 0.0117505 1.06792
rForeArm -0.0280391 1.53608 0.618671 0.47668 0.598192 -0.290147 0.575115 1.06792
lFoot -0.139164 0.0704443 -0.145303 0.0368778 0.197473 -0.840866 0.502582 1.06792
rFoot -0.08158 0.0470325 0.215774 0.837972 0.52872 0.0179953 0.13392 1.06792
head 0.0440515 1.74002 0.063556 0.00859014 -0.695877 -0.00117086 0.718108 1.06792
hip -0.0546713 1.11511 0.215376 0.769375 0.629409 -0.0354637 0.103192 1.06792
lHand -0.0272027 1.54486 -0.895137 0.199712 -0.0341784 -0.502382 0.840571 1.06792
lForeArm -0.0938587 1.56004 -0.53078 0.307286 0.607679 -0.51297 0.52265 1.06792
rHand 0.0533671 1.5317 0.969702 -0.378791 -0.908365 0.176812 0.0113414 1.06792
rForeArm -0.0281343 1.53641 0.618642 0.47697 0.597625 -0.29121 0.574926 1.06792
lFoot -0.139261 0.0704428 -0.145248 0.0368701 0.197404 -0.840995 0.502393 1.06792
rFoot -0.0817077 0.0469075 0.215689 0.837974 0.528721 0.0179344 0.133914 1.06792
head 0.0438229 1.74 0.0631886 0.0085362 -0.696041 -0.0012207 0.71795 1.06792
hip -0.054769 1.11518 0.215363 0.769321 0.629404 -0.0354937 0.103614 1.06792
lHand -0.0272555 1.54508 -0.895189 0.199399 -0.0337075 -0.501431 0.841232 1.06792
lForeArm -0.0938587 1.56004 -0.53078 0.307286 0.607679 -0.51297 0.52265 1.06792
rHand 0.0531659 1.53172 0.969343 -0.376662 -0.909375 0.176209 0.0106257 1.06792
rForeArm -0.0280412 1.53665 0.618352 0.477747 0.596829 -0.292273 0.574569 1.06792
lFoot -0.139199 0.0703938 -0.145351 0.0369724 0.197395 -0.840945 0.502473 1.06792
