tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.216457 1.73633 -0.0503726 0.106279 -0.681798 0.0506172 0.722007 1.04752
hip 0.118199 1.02898 0.115826 0.653098 0.754136 -0.0659956 0.0196764 1.04752
lHand 0.0697191 1.44523 -0.994267 0.130897 0.014625 -0.681408 0.719955 1.04752
lForeArm 0.0694036 1.50475 -0.629613 0.468863 0.437123 -0.582454 0.499837 1.04752
rHand -0.0157486 1.49596 0.867174 0.680195 0.720166 -0.0808751 0.11025 1.04752
rForeArm 0.0347986 1.52629 0.500321 0.619829 0.399601 -0.325664 0.591671 1.04752
lFoot 0.085603 0.0867398 -0.247639 0.138039 0.0537649 -0.837142 0.526543 1.04752
rFoot 0.0535321 0.00101864 0.130559 0.854376 0.497066 -0.0825157 0.127117 1.04752
head 0.217098 1.73645 -0.0504475 0.10686 -0.682184 0.0510442 0.721526 1.04752
hip 0.118115 1.02899 0.115638 0.653217 0.754061 -0.0654556 0.0203927 1.04752
lHand 0.0692412 1.44468 -0.994445 0.129499 0.0147761 -0.682212 0.719443 1.04752
lForeArm 0.0697607 1.50468 -0.629713 0.469089 0.436745 -0.58365 0.49856 1.04752
rHand -0.0158374 1.49477 0.866244 0.678046 0.722681 -0.0784191 0.108796 1.04752
rForeArm 0.0348524 1.52626 0.499919 0.618905 0.40107 -0.32274 0.593244 1.04752
lFoot 0.0858881 0.0872792 -0.247581 0.137842 0.0540845 -0.837362 0.526213 1.04752
rFoot 0.0535802 0.00104368 0.130531 0.854288 0.497179 -0.0826063 0.127207 1.04752
head 0.217677 1.73654 -0.0508049 0.107282 -0.682495 0.0514513 0.721141 1.04752
hip 0.118165 1.02878 0.11486 0.653317 0.753994 -0.0650916 0.0207911 1.04752
lHand 0.0685806 1.44427 -0.994578 0.128181 0.0157811 -0.680402 0.721369 1.04752
lForeArm 0.070233 1.50451 -0.62978 0.468651 0.436483 -0.584598 0.49809 1.04752
rHand -0.0107702 1.49414 0.864147 0.680106 0.720909 -0.0929629 0.095414 1.04752
rForeArm 0.0351001 1.52674 0.499957 0.618547 0.401337 -0.321616 0.594047 1.04752
lFoot 0.0862298 0.0867673 -0.24743 0.138482 0.0543974 -0.837763 0.525374 1.04752
rFoot 0.0535207 0.00108457 0.130465 0.854098 0.497519 -0.082478 0.127235 1.04752
head 0.21854 1.73666 -0.0504673 0.107722 -0.682782 0.0518555 0.720775 1.04752
hip 0.118703 1.02904 0.115696 0.653473 0.753893 -0.0646492 0.0209435 1.04752
lHand 0.0677919 1.44366 -0.994549 0.126952 0.0172759 -0.678269 0.723558 1.04752
lForeArm 0.0705597 1.50444 -0.630123 0.467827 0.435758 -0.586406 0.497373 1.04752
rHand -0.0147504 1.49138 0.86446 0.682725 0.719755 -0.074988 0.101077 1.04752
rForeArm 0.0356112 1.5268 0.499303 0.616575 0.401615 -0.320445 0.596536 1.04752
lFoot 0.0860602 0.0868735 -0.247547 0.139077 0.0549341 -0.838048 0.524706 1.04752
rFoot 0.0535741 0.00112283 0.130436 0.854031 0.497659 -0.0821412 0.127355 1.04752
head 0.219265 1.73668 -0.0506094 0.108027 -0.68307 0.0522464 0.720427 1.04752
hip 0.118738 1.02906 0.115564 0.653628 0.753798 -0.0640982 0.0212244 1.04752
lHand 0.0665777 1.44304 -0.994913 0.125529 0.0184047 -0.678117 0.723921 1.04752
lForeArm 0.0708385 1.50443 -0.630518 0.466518 0.435805 -0.587841 0.496868 1.04752
rHand -0.0147134 1.48862 0.863792 0.684695 0.719036 -0.0692403 0.0968766 1.04752
rForeArm 0.0360153 1.52689 0.498778 0.615777 0.402086 -0.319008 0.597812 1.04752
lFoot 0.0861647 0.0871681 -0.247549 0.138646 0.0544428 -0.838021 0.524913 1.04752
rFoot 0.0536051 0.00109994 0.130337 0.853891 0.497876 -0.0821264 0.127457 1.04752
head 0.219928 1.73668 -0.0510619 0.108114 -0.683458 0.0523712 0.720038 1.04752
