tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
lForeArm -0.215334 1.55433 -0.434046 0.436332 0.539863 -0.391461 0.604087 1.04363
rHand -0.242552 1.52894 1.05277 0.609262 0.783577 -0.0966182 0.073972 1.04363
rForeArm -0.231662 1.55092 0.666996 0.436682 0.563767 -0.422132 0.559715 1.04363
lFoot -0.200453 0.0615305 -0.12744 0.118827 0.0892197 -0.838927 0.523566 1.04363
rFoot -0.201105 0.0271102 0.284399 0.817502 0.565584 0.0214337 0.106515 1.04363
head -0.10537 1.73246 0.133173 0.0817024 -0.70448 0.068203 0.701699 1.04363
hip -0.212284 1.05936 0.28016 0.563304 0.80066 0.0281056 0.202097 1.04363
lHand -0.167905 1.52748 -0.826529 0.101455 0.0153842 -0.645955 0.756447 1.04363
lForeArm -0.215293 1.55427 -0.434191 0.436835 0.539673 -0.391722 0.603724 1.04363
rHand -0.24171 1.52854 1.05294 0.609416 0.783539 -0.0962448 0.0735937 1.04363
rForeArm -0.231379 1.55053 0.666942 0.437331 0.563859 -0.423628 0.557981 1.04363
lFoot -0.200118 0.0611752 -0.126996 0.11911 0.0893832 -0.839215 0.523013 1.04363
rFoot -0.201199 0.0270692 0.284486 0.817454 0.565653 0.0215356 0.106499 1.04363
head -0.105105 1.73243 0.133268 0.0808775 -0.704539 0.0681511 0.70174 1.04363
hip -0.212484 1.05933 0.279842 0.563345 0.800651 0.0280778 0.20202 1.04363
lHand -0.168002 1.52843 -0.826549 0.102777 0.0178694 -0.645136 0.756913 1.04363
lForeArm -0.215342 1.55405 -0.434336 0.43762 0.538891 -0.391983 0.603684 1.04363
rHand -0.240615 1.52809 1.05304 0.609281 0.783725 -0.0962986 0.0726606 1.04363
rForeArm -0.231213 1.55006 0.666692 0.437217 0.564442 -0.424522 0.556802 1.04363
lFoot -0.199821 0.0607697 -0.126556 0.11941 0.089182 -0.839366 0.522736 1.04363
rFoot -0.201278 0.0270954 0.28438 0.817445 0.565678 0.0217024 0.106399 1.04363
head -0.10503 1.73236 0.133058 0.0802373 -0.704566 0.0682669 0.701775 1.04363
hip -0.212668 1.05924 0.279585 0.563428 0.800685 0.0283913 0.201611 1.04363
lHand -0.168006 1.52934 -0.826746 0.104253 0.0202618 -0.644727 0.757 1.04363
lForeArm -0.215293 1.55384 -0.434411 0.438245 0.538517 -0.39197 0.603573 1.04363
rHand -0.239709 1.52829 1.05319 0.608037 0.784389 -0.0976186 0.0741381 1.04363
rForeArm -0.230825 1.54925 0.666716 0.437687 0.564712 -0.425698 0.555258 1.04363
lFoot -0.199531 0.0604416 -0.126179 0.119788 0.0891097 -0.839721 0.52209 1.04363
rFoot -0.201106 0.0272633 0.28459 0.817329 0.565878 0.021885 0.10619 1.04363
head -0.105097 1.73229 0.132584 0.0793683 -0.704445 0.0680191 0.70202 1.04363
hip -0.212833 1.05918 0.279343 0.563144 0.80086 0.0289232 0.201632 1.04363
lHand -0.167869 1.53017 -0.826957 0.105947 0.0223779 -0.645266 0.756245 1.04363
lForeArm -0.215427 1.55344 -0.434672 0.439113 0.537741 -0.391999 0.603616 1.04363
rHand -0.23867 1.52829 1.05335 0.607147 0.784705 -0.0994419 0.0756453 1.04363
rForeArm -0.230543 1.54811 0.666619 0.43859 0.564527 -0.427966 0.552987 1.04363
lFoot -0.199224 0.0600549 -0.125747 0.120135 0.0890583 -0.839955 0.521643 1.04363
rFoot -0.201295 0.0273665 0.284524 0.817171 0.566082 0.0221496 0.106265 1.04363
head -0.104796 1.73234 0.132607 0.0786909 -0.704343 0.0678626 0.702213 1.04363
hip -0.213028 1.05917 0.279028 0.563272 0.800844 0.0289587 0.201331 1.04363
lHand -0.167355 1.53052 -0.827029 0.107508 0.0232732 -0.646047 0.75533 1.04363
lForeArm -0.21558 1.5531 -0.434977 0.439875 0.536939 -0.392129 0.60369 1.04363
rHand -0.237615 1.52814 1.0533 0.607735 0.784044 -0.100764 0.0760293 1.04363
rForeArm -0.230438 1.54722 0.66641 0.438906 0.564823 -0.429619 0.551147 1.04363
lFoot -0.198673 0.0592484 -0.124521 0.120202 0.089299 -0.840382 0.520899 1.04363
rFoot -0.201306 0.0273407 0.28448 0.817097 0.56618 0.0223365 0.106274 1.04363
head -0.104653 1.73231 0.13227 0.077975 -0.704128 0.0676944 0.702525 1.04363
hip -0.213286 1.05904 0.278697 0.563277 0.80095 0.0291669 0.200867 1.04363
lHand -0.166525 1.53061 -0.827337 0.109417 0.0235225 -0.647516 0.753789 1.04363
