tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
hip 0.00931132 1.03409 -0.0157685 -0.704977 -0.703921 0.0787303 0.0360957 1.07077
lHand -0.0225103 1.41099 -1.12981 0.0990588 0.00453635 -0.6184 0.779582 1.07077
lForeArm -0.013783 1.48178 -0.748907 0.446468 0.416529 -0.603086 0.51328 1.07077
rHand -0.0547395 1.43814 0.750967 0.613554 0.766505 -0.0860784 0.16915 1.07077
rForeArm -0.0174022 1.47636 0.378733 0.589581 0.486048 -0.251483 0.594061 1.07077
lFoot -0.0236845 0.0865195 -0.322858 0.0231985 0.148987 -0.824747 0.545029 1.07077
rFoot -0.0639468 0.0388777 0.0217128 0.84338 0.515778 -0.0390029 0.14547 1.07077
head 0.184894 1.70702 -0.158659 0.0202747 -0.68854 -0.0561158 0.72274 1.07077
hip 0.0094986 1.03398 -0.016284 -0.705621 -0.703054 0.0799765 0.0376594 1.07077
lHand -0.0216814 1.40984 -1.13036 0.0985424 0.00360469 -0.618253 0.779769 1.07077
lForeArm -0.0128032 1.48125 -0.749753 0.445937 0.415047 -0.604633 0.513124 1.07077
rHand -0.0549688 1.43776 0.750076 0.613 0.766947 -0.0851022 0.169649 1.07077
rForeArm -0.0168028 1.47619 0.377945 0.591181 0.484484 -0.252521 0.593307 1.07077
lFoot -0.0235475 0.0868121 -0.322858 0.0237159 0.148247 -0.826097 0.543161 1.07077
rFoot -0.0638609 0.0387788 0.0215962 0.843389 0.515728 -0.0392486 0.145527 1.07077
head 0.18576 1.70701 -0.159468 0.0204337 -0.688602 -0.0555117 0.722723 1.07077
hip 0.00955033 1.03382 -0.0170538 -0.70641 -0.702171 0.0800584 0.0391305 1.07077
lHand -0.0209434 1.40848 -1.13103 0.0973798 0.00220065 -0.619146 0.779212 1.07077
lForeArm -0.011976 1.48068 -0.750574 0.446239 0.41404 -0.605435 0.512728 1.07077
rHand -0.0549438 1.4375 0.749192 0.612437 0.767348 -0.0848913 0.169975 1.07077
rForeArm -0.0163109 1.47597 0.377101 0.592513 0.483021 -0.253705 0.592666 1.07077
lFoot -0.023438 0.0866792 -0.322949 0.0249624 0.14783 -0.827532 0.541031 1.07077
rFoot -0.063798 0.0387292 0.0213959 0.843393 0.515677 -0.0394852 0.145625 1.07077
head 0.18659 1.70698 -0.160484 0.0206905 -0.688627 -0.0548349 0.722743 1.07077
hip 0.00949025 1.03343 -0.018188 -0.707223 -0.701302 0.0794356 0.0412459 1.07077
lHand -0.0201972 1.40706 -1.13163 0.0958791 0.000818873 -0.620332 0.778457 1.07077
lForeArm -0.0110888 1.4802 -0.751216 0.446847 0.412801 -0.60646 0.511985 1.07077
rHand -0.055307 1.43728 0.748312 0.611822 0.767716 -0.0848036 0.17057 1.07077
rForeArm -0.0159317 1.47574 0.376314 0.594099 0.480889 -0.255097 0.592214 1.07077
lFoot -0.0232114 0.0868514 -0.322848 0.0257872 0.14723 -0.829359 0.538351 1.07077
rFoot -0.0639689 0.0388612 0.0214972 0.843518 0.515424 -0.0394778 0.145797 1.07077
head 0.187627 1.70689 -0.161304 0.0210331 -0.688657 -0.0541721 0.722755 1.07077
hip 0.010129 1.03328 -0.018245 -0.707933 -0.700404 0.0800605 0.0430801 1.07077
lHand -0.0192587 1.40553 -1.13216 0.0945298 -0.000244141 -0.621307 0.777845 1.07077
lForeArm -0.0100633 1.47955 -0.751796 0.447665 0.411704 -0.60734 0.511111 1.07077
rHand -0.0555302 1.43713 0.747379 0.612004 0.767377 -0.0849701 0.171359 1.07077
rForeArm -0.0153784 1.47528 0.375446 0.594943 0.479627 -0.255409 0.592256 1.07077
lFoot -0.0227518 0.0868074 -0.322682 0.0268288 0.146792 -0.830863 0.536095 1.07077
rFoot -0.0636878 0.0385035 0.0215786 0.843597 0.5153 -0.0398783 0.145671 1.07077
head 0.188686 1.70676 -0.162247 0.0215322 -0.688917 -0.0536501 0.722531 1.07077
hip 0.0103767 1.03318 -0.0188713 -0.708556 -0.699429 0.0823297 0.0443744 1.07077
lHand -0.0185943 1.40414 -1.13296 0.0926945 -0.00129763 -0.622478 0.777127 1.07077
lForeArm -0.0091939 1.47903 -0.752601 0.449014 0.409482 -0.608945 0.5098 1.07077
rHand -0.0558616 1.43698 0.746367 0.613494 0.765851 -0.0849224 0.172876 1.07077
rForeArm -0.0150415 1.47474 0.374453 0.594963 0.479283 -0.255019 0.592682 1.07077
lFoot -0.0226704 0.0866952 -0.322458 0.0283527 0.146585 -0.832796 0.533066 1.07077
rFoot -0.0635791 0.0385836 0.0216169 0.843599 0.515299 -0.0401771 0.145577 1.07077
head 0.189728 1.70646 -0.163566 0.0224634 -0.689056 -0.0532406 0.7224 1.07077
hip 0.0107795 1.03318 -0.0196655 -0.709297 -0.69792 0.0884669 0.0444904 1.07077
lHand -0.0176072 1.40285 -1.13375 0.091425 -0.00232895 -0.623503 0.776453 1.07077
lForeArm -0.00821924 1.4784 -0.753389 0.449887 0.407513 -0.610287 0.509003 1.07077
rHand -0.0560626 1.43686 0.745128 0.614865 0.764303 -0.0849252 0.174841 1.07077
rForeArm -0.0145451 1.47432 0.373467 0.595364 0.478988 -0.254638 0.592681 1.07077
lFoot -0.0222442 0.0867714 -0.322263 0.0300415 0.146158 -0.834515 0.530397 1.07077
rFoot -0.0636886 0.0384387 0.0216274 0.843733 0.515055 -0.0406501 0.145533 1.07077
head 0.190932 1.70596 -0.164703 0.0230335 -0.689261 -0.0529943 0.722205 1.07077
hip 0.011447 1.03338 -0.0200739 -0.709999 -0.696376 0.0947863 0.0444743 1.07077
lHand -0.0165522 1.40168 -1.13468 0.0913929 -0.00445348 -0.624605 0.775562 1.07077
lForeArm -0.00751007 1.47763 -0.754194 0.450815 0.406 -0.611521 0.507909 1.07077
rHand -0.056769 1.4372 0.743569 0.61579 0.762655 -0.0854526 0.178487 1.07077
rForeArm -0.014024 1.47376 0.372407 0.595661 0.478917 -0.253584 0.592892 1.07077
