tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
lHand 0.0384436 1.49854 -0.933086 0.11408 0.023069 -0.677946 0.72584 1.04465
lForeArm 0.000492573 1.53601 -0.540206 0.460205 0.5023 -0.401377 0.612211 1.04465
rHand -0.00521982 1.51371 0.943859 0.671224 0.733631 -0.0918696 0.0529566 1.04465
rForeArm -0.0123343 1.54115 0.571057 0.449404 0.559453 -0.424255 0.552319 1.04465
lFoot -0.00455105 0.0127248 -0.191172 0.210942 0.107246 -0.814488 0.529727 1.04465
rFoot -0.0593445 -0.00534844 0.163187 0.842517 0.50471 0.0292516 0.185949 1.04465
head 0.0992364 1.68843 0.0216811 0.0374992 -0.704314 0.0355126 0.708007 1.04465
hip -0.0107315 1.05139 0.18188 0.617826 0.758597 -0.0801259 0.190791 1.04465
lHand 0.0371417 1.49857 -0.933193 0.112646 0.0253024 -0.673411 0.730197 1.04465
lForeArm 8.7142e-05 1.5358 -0.539913 0.459919 0.502658 -0.40087 0.612464 1.04465
rHand -0.00502706 1.51474 0.944348 0.66928 0.735178 -0.0928832 0.0543188 1.04465
rForeArm -0.0126137 1.54111 0.571523 0.447362 0.559776 -0.424492 0.553467 1.04465
lFoot -0.00421047 0.0126386 -0.191377 0.211137 0.10604 -0.815115 0.528928 1.04465
rFoot -0.0591753 -0.00513494 0.163297 0.843958 0.502683 0.0274637 0.185176 1.04465
head 0.0995996 1.6882 0.0224257 0.0365871 -0.704091 0.0346303 0.70832 1.04465
hip -0.0119355 1.05163 0.182363 0.618499 0.757469 -0.0828684 0.191919 1.04465
lHand 0.0361245 1.49917 -0.932764 0.113273 0.0298376 -0.669158 0.73383 1.04465
lForeArm -0.000179172 1.53526 -0.539481 0.458153 0.503188 -0.40043 0.613639 1.04465
rHand -0.00498748 1.51572 0.944854 0.667325 0.73672 -0.0938186 0.0558522 1.04465
rForeArm -0.0129589 1.54111 0.571919 0.444871 0.560813 -0.423395 0.555261 1.04465
lFoot -0.00391471 0.0125149 -0.191391 0.212511 0.105451 -0.815212 0.528344 1.04465
rFoot -0.0590587 -0.00488603 0.163475 0.845533 0.500651 0.0253207 0.183798 1.04465
head 0.0998563 1.68781 0.0228322 0.0357541 -0.704097 0.0338808 0.708393 1.04465
hip -0.0132881 1.05185 0.182806 0.618724 0.756636 -0.0834821 0.194199 1.04465
lHand 0.0348756 1.49986 -0.932256 0.114737 0.0342428 -0.666518 0.73581 1.04465
lForeArm -0.000666618 1.53472 -0.538942 0.456322 0.503036 -0.401015 0.614746 1.04465
rHand -0.00472891 1.51661 0.945603 0.665541 0.738033 -0.0951666 0.0574997 1.04465
rForeArm -0.0130565 1.54095 0.572294 0.443056 0.561882 -0.422287 0.556475 1.04465
lFoot -0.00376153 0.0124053 -0.191448 0.214113 0.104853 -0.815126 0.52795 1.04465
rFoot -0.0588791 -0.00467312 0.163657 0.847053 0.498813 0.0232453 0.182059 1.04465
head 0.100126 1.68722 0.0233667 0.0347424 -0.70374 0.0329794 0.70884 1.04465
hip -0.0151081 1.05191 0.182907 0.619403 0.754906 -0.0849677 0.198086 1.04465
lHand 0.0336008 1.50033 -0.931573 0.116278 0.0374332 -0.665405 0.73642 1.04465
lForeArm -0.00108075 1.5343 -0.538309 0.455317 0.503042 -0.401634 0.615081 1.04465
rHand -0.0046941 1.51721 0.946097 0.664442 0.73877 -0.09628 0.0588703 1.04465
rForeArm -0.0130023 1.54082 0.573027 0.441606 0.562815 -0.421482 0.557294 1.04465
